,title,published,lat,lon,link_url,description,cause,acres
36,San Juan NF Prescribed Fire Program (Prescribed Fire),"Thu, 12 Nov 2020 15:12:20 -06:00",37.278888888889,-107.88222222222,http://inciweb.nwcg.gov/incident/6288/,"  The San Juan National Forest Fuels Management Staff are planning to burn slash piles this fall and winter. Operations typically take place after significant weather such as when snowfall occurs. These piles consist of thinning slash from hazardous fuels reduction projects and timber sales. Hazardous fuels reduction projects target specific areas to reduce wildfire hazards to nearby private residences, land, and other infrastructure.  Operations will begin as early as this month and could continue through April, when sufficient weather and snow is present to prevent fire spread and will continue as long as conditions allow. Firefighters will ignite and closely monitor pile burning activities. Burning will only occur when all conditions of the state issued smoke permit are met. These activities should not affect public access or use of the forest. The Columbine Ranger District plans to burn slash piles in areas east of Bayfield in Saul’s Creek near Forest System Road (FSR) 608 and...",Unknown,379895
37,August Complex (Wildfire),"Thu, 12 Nov 2020 14:24:25 -06:00",39.659444444444,-122.80888888889,http://inciweb.nwcg.gov/incident/6983/," The August Complex is 1,032,648 acres and 100% contained. The fires within the Complex ignited August 16 and 17, 2020.  Management of the incident has been transferred back to the local units. Coordination continues between the Mendocino, Six Rivers and Shasta-Trinity national forests.    Shasta-Trinity National Forest Closure: |Closure Map  Mendocino National Forest Closure: |Closure Map  Six Rivers National Forest Closure:|Closure Map   ",Human,138054
38,Kootenai Fuels Prescribed Fire (Prescribed Fire),"Thu, 12 Nov 2020 10:28:22 -06:00",47.713055555556,-116.72916666667,http://inciweb.nwcg.gov/incident/7258/," English Point and Canfield Mountain Pile Burning  The Coeur d’Alene River Ranger District of the Idaho Panhandle National Forests will be burning piles associated with the Kootenai Fuel Reduction Project. Interagency crews will be working to burn slash piles on Canfield Mountain and English Point from over 600 acres of pruning, thinning, and brushing work completed earlier this year. There are other smaller prescribed fire units north Rose Lake, and along the southeast side of Hayden Lake. Hazardous fuels reduction in the Wildland-Urban Interface (WUI) comprises National Forest System lands adjacent to private property and the protection of emergency services communication infrastructure on Canfield Butte.  Hunters: if you see piles in the area, know that your hunt may be inadvertently disturbed by prescribed fire activity. This burning activity should have minimal, localized smoke impacts, and will not interfere with travel on-Forest. Smoke will be highly visible from Coeur...",Unknown,124924
39,Bryan Mountain Fire (Wildfire),"Tue, 10 Nov 2020 13:29:10 -06:00",45.267777777778,-116.46472222222,http://inciweb.nwcg.gov/incident/7227/,"The Bryan Mountain fire was detected the afternoon of October 1, 2020 between the West Fork and the main Rapid River, approximately six miles southeast of Pollock. The Bryan Mountain fire has been officially declared",Prescribed Fire,n/a
40,Fork Fire (Wildfire),"Mon, 09 Nov 2020 14:40:43 -06:00",38.990277777778,-120.39416666667,http://inciweb.nwcg.gov/incident/7165/,"  A Type 5 organization is managing the Fork Fire. The Fork Fire is 1673 Acres with 100% containment. Fire activity has been minimal, however windblown needle cast over the completed fire lines and strong winds resulted in a 2.6-acre slop over on 10/27 which was contained at 97 acres. The Fork Fire started in the Crystal Basin near Gerle Creek under critical fire weather conditions. Driven by east winds gusting 30-50 miles per hour, the fire grew rapidly to the west. It is burning in the Rubicon River drainage and the 2014 King Fire burn scar. The Rubicon canyon is in an extremely steep and remote area which makes firefighting difficult. This area of the King Fire had burned at high severity with nearly 100% tree mortality, leaving large snag patches of fire killed trees. The standing snags are a significant safety hazard, especially in strong winds. There is also a high concentration of dead and down trees creating a heavy fuel load, as well as dense post-fire regrowth of 4-6 foot...",Lightning,8177
41,Point Fire (Wildfire),"Mon, 09 Nov 2020 14:20:03 -06:00",39.003055555556,-120.48222222222,http://inciweb.nwcg.gov/incident/7254/," The Point Fire remains at 93 acres with 97% Containment. Containment lines continue to hold as fire personnel continue with mop up and control any hot spots that are still smoldering and burning as it is safe to do so. There are still many standing snags creating hazard conditions for fire personnel still assigned to the incident. Rehab and repair for the Point Fire is to be completed on mechanically created fire lines. This is done using a dozer or excavator to pull the soils back to restore original landscape and by using brush, limbs, poles, and logs placing them into naturally appearing arrangements. The Objectives remain the same to provide for fire fighter safety & to protect private and public lands.  The Point Fire began On October 26 at 6:00 AM off Nevada Point Rd and Long Creek Rd, north of Ellicott Bridge in the Georgetown RD of the Eldorado National Forest. Eldorado NF and Cal Fire resources responded to the incident. It is located within the 2014 King Fire Footprint...",Unknown,208913
42,Woodhead Fire (Wildfire),"Fri, 06 Nov 2020 14:39:45 -06:00",44.756111111111,-116.87666666667,http://inciweb.nwcg.gov/incident/7163/," The Woodhead Fire is contained and is in patrol status.  Suppression rehab is completed with the expectation of winter weather conditions in the near future. Over 60 miles of dozer line was repaired across private, state, Bureau of Land Management, and Forest Service lands. It took a lot of coordination with other agencies, landowners, and permittees to perform the repair work. The fire personnel and resource advisor were able to complete the repair with the help of three excavators, one dozer, and the Black Mountain Hot Shot crew. This work concludes the Woodhead Fire incident.   The BAER assessment was also completed this week and a proposed treatment plan was submitted to the Intermountain Regional Office for review and approval. Additional details regarding the BAER treatments will be announced upon approval and a new Inciweb site will be established for the Woodhead BAER efforts.   ",Prescribed Fire,n/a
43,Red Salmon Post-Fire BAER (Burned Area Emergency Response),"Fri, 06 Nov 2020 13:01:13 -06:00",41.085,-123.31388888889,http://inciweb.nwcg.gov/incident/7253/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Prescribed Fire,n/a
44,Grizzly Creek Fire (Wildfire),"Fri, 06 Nov 2020 10:13:47 -06:00",39.566666666667,-107.27138888889,http://inciweb.nwcg.gov/incident/6942/," Nov. 6 Update Firefighters are continuing to monitor the Grizzly Creek Fire and are reporting occasional smokes, particularly on the recent warm afternoons. Smoke is mostly from smoldering in the timber litter, duff and some dead and down on the west side of the Grizzly Creek drainage. The fire remains in the steep, rugged terrain difficult for firefighters to access safely. The fire is not currently expected to grow from this activity.  Firefighters will continue monitoring and will evaluate the impacts of this weekend’s anticipated moisture.The fire remains 32,631 acres and 91 percent contained.Maps of the current area closure as well as the fire perimeter are available on InciWeb: inciweb.nwcg.gov/incident/6942/. Check www.blm.gov or www.fs.usda.gov/whiteriver for the latest fire restriction information.",Burned Area Emergency Response,n/a
45,Evans Canyon Fire (Wildfire),"Fri, 06 Nov 2020 00:37:48 -06:00",46.854166666667,-120.79888888889,http://inciweb.nwcg.gov/incident/7132/," The Evans Canyon Fire started on the afternoon of Aug 31, 2020 and is located in Yakima and Kittitas Counties in the Evans Canyon area.  The fire is being managed by a Type 3 Incident Management Team with the primary focus on mop-up and suppression damage repair.  All evacuation orders have been lifted and some area closures remain in effect due to the Washington State Fire Commissioners orders.  People are encouraged to check the Yakima County Emergency Management Website for more information at",Unknown,379895
46,August Complex Post-Fire BAER (Burned Area Emergency Response),"Thu, 05 Nov 2020 22:38:28 -06:00",39.59,-122.73944444444,http://inciweb.nwcg.gov/incident/7228/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Human,138054
47,Horse Fire (Wildfire),"Thu, 05 Nov 2020 15:17:35 -06:00",34.274722222222,-112.41888888889,http://inciweb.nwcg.gov/incident/7244/,"As of November 1, 2020. The Horse Fire is 100% contained and is currently in monitor status. ",Unknown,124924
48,Lake Post-Fire BAER (Burned Area Emergency Response),"Wed, 04 Nov 2020 23:47:08 -06:00",34.641388888889,-118.32916666667,http://inciweb.nwcg.gov/incident/7115/,"  THREE PHASES OF WILDFIRE RECOVERY          There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Prescribed Fire,n/a
49,Ranch2 Post-Fire BAER (Burned Area Emergency Response),"Wed, 04 Nov 2020 23:46:53 -06:00",34.156666666667,-117.91083333333,http://inciweb.nwcg.gov/incident/7114/,"  THREE PHASES OF WILDFIRE RECOVERY          There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Lightning,8177
50,Luna Fire  (Wildfire),"Wed, 04 Nov 2020 18:33:40 -06:00",36.264166666667,-105.33972222222,http://inciweb.nwcg.gov/incident/7246/," The Luna Fire started on Oct. 17, 2020, approximately two miles north of Chacon, NM. The cause of the fire is currently under investigation. Fuels are primarily mixed conifer tapering to ponderosa pine at lower elevations and light grass in open areas. Fire behavior has ranged from moderate to extreme, driven by terrain and winds. Firefighters are continuing fire suppression efforts to protect values at risk and strengthen containment lines. Without the traditional monsoon season, fuel moistures are very low for this time of year and other fire indices are unseasonably high. Due to the complexity of the Luna Fire and values at risk, the Carson National Forest and New Mexico State Forestry Division ordered additional resources. On Oct. 31, Carson National Forest Incident Commander assumed command of the fire from the California Incident Management Team 5, led by Incident Commander Rick Young. If any activity changes, the Carson National Forest will provide information on Inciweb,...",Unknown,208913
51,Sourdough Fire (Wildfire),"Tue, 03 Nov 2020 12:00:09 -06:00",44.665555555556,-112.97472222222,http://inciweb.nwcg.gov/incident/7259/,"                Beaverhead County, Mont., November 1st, 2020 — Fire crews continue conducting burnout operations and securing the perimeter today on the Sourdough Fire, which is now 75 percent contained and approximately 5,811 acres.  Decrease in acreage is due to accurate mapping.              Including the Sourdough Fire, Beaverhead-Deerlodge National Forest (BDNF) fire personnel and dispatchers are responding to five fires within the forest currently. A recent change in weather has quickly diminished any beneficial moisture from recent snowfall.  Varying wind speed and direction, along with an increase in activity due to the opening of rifle season just over a week ago, are all factors affecting the current fire situation.             Many BDNF fire crews recently arrived back from assisting fire fighting efforts throughout the nation and are now working hard on fire suppression and containment efforts in several places within the forest as we...",Prescribed Fire,n/a
52,East Fork Fire (Wildfire),"Mon, 02 Nov 2020 09:59:01 -06:00",40.610555555556,-110.71444444444,http://inciweb.nwcg.gov/incident/7052/,Minimal Fire Behavior is expected to continue with snow in the higher elevations this weekend.  This will be the last update unless significant activity,Prescribed Fire,n/a
53,Dolan Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:26:40 -06:00",36.003888888889,-121.43333333333,http://inciweb.nwcg.gov/incident/7231/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Burned Area Emergency Response,n/a
54,El Dorado Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:17:54 -06:00",34,-116.83333333333,http://inciweb.nwcg.gov/incident/7217/,"  THREE PHASES OF WILDFIRE RECOVERY          There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Unknown,24995
55,Snow Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:16:16 -06:00",33.833333333333,-116.58333333333,http://inciweb.nwcg.gov/incident/7214/,"  THREE PHASES OF WILDFIRE RECOVERY          There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Unknown,379895
56,Apple Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:15:00 -06:00",33.961111111111,-116.81111111111,http://inciweb.nwcg.gov/incident/6939/,"   THREE PHASES OF WILDFIRE RECOVERY      There are three phases of recovery following wildfires on federal lands:  -       Fire Suppression Repair  -       Emergency Stabilization-Burned Area Emergency Response (BAER)  -       Long-Term Recovery and Restoration  o   Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.  o   Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest...",Human,138054
57,Bobcat Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:13:25 -06:00",34.405555555556,-117.9175,http://inciweb.nwcg.gov/incident/7232/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Unknown,124924
58,Valley Post-Fire BAER (Burned Area Emergency Response),"Sun, 01 Nov 2020 20:08:11 -06:00",32.725,-116.58333333333,http://inciweb.nwcg.gov/incident/7202/,"  THREE PHASES OF WILDFIRE RECOVERY          There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Prescribed Fire,n/a
59,Fox Fire (Wildfire),"Sun, 01 Nov 2020 19:24:01 -06:00",41.211666666667,-122.84666666667,http://inciweb.nwcg.gov/incident/7203/,"Please visit our incident's Facebook page for updates throughout the day at: https://www.facebook.com/KlamathNFThe Fox Fire was discovered on the Klamath National Forest on September 14, 2020 and is burning southwest of Callahan, California.     Evacuation advisory’s and evacuation orders are in effect for Callahan, see Siskiyou County Sheriff’s Office for updated details",Lightning,8177
60,State Creek Fire (Wildfire),"Sat, 31 Oct 2020 10:37:34 -06:00",46.099444444444,-112.2325,http://inciweb.nwcg.gov/incident/7142/,"Order Number 2020-D4-023, applicable to the Beaverhead-Deerlodge National Forest, pertaining to the State Creek Fire closure is rescinded.RESCINDING ORDER BEAVERHEAD-DEERLODGE NATIONAL FOREST Butte Ranger District Pursuant to Title 36 Code of Federal Regulation 261.50 (a) & (b), the prohibition listed in Order number 2020-D4-023, applicable to the Beaverhead-Deerlodge National Forest dated September 22, 2020 and signed by Cheri Ford Forest Supervisor is hereby rescinded effective October 20, 2020 @ 0900. Done at Dillon, Montana this 20th day of October",Unknown,208913
61,Ice Fire (Wildfire),"Thu, 29 Oct 2020 14:23:44 -06:00",37.810833333333,-107.78,http://inciweb.nwcg.gov/incident/7251/,"As of Monday October 26, 2020, management of Ice Fire has been returned to the local Columbine Ranger District of the San Juan National Forest. No further updates to this page are anticipated unless significant developments occur. On October 27, containment was 100% with a total acreage of 596 acres. The fire was reported on the afternoon of October 19, west of Silverton, CO on the north side of the South Mineral Creek Road (585). The fire area includes the Ice Lakes Trail and the Clear Lake Road. Closures will remain in place through the winter. Check the San Juan National Forest specials orders webpage for up to date information.  https://www.fs.usda.gov/detail/sanjuan/notices/?cid=STELPRDB5245061  The cause of the fire is unknown and under investigation. For additional information contact the San Juan National Forest Public Affairs Office at",Prescribed Fire,n/a
62,Beachie Creek Fire (Wildfire),"Wed, 28 Oct 2020 19:50:46 -06:00",44.821111111111,-122.18805555556,http://inciweb.nwcg.gov/incident/7001/,"  The Beachie Creek Fire was first detected on August 16, 2020 approximately 2 miles south of Jaw Bones flats in rugged terrain deep in the Opal Creek Wilderness. A Type 3 team was ordered to manage the fire on the day it was detected and implemented a full suppression strategy. A hotshot crew tried to hike to the fire within the first 24 hours. They were unable to safely access and engage the fire due to the remote location, steep terrain, thick vegetation and overhead hazards. Fire managers continued to work on gaining access, developing trails, identify lookout locations, exploring options for access and opening up old road systems. The fire was aggressively attacked with helicopters dropping water. A large closure of the Opal Creek area and recreation sites in the Little North Fork corridor was immediately signed and implemented. The fire remained roughly 20 acres for the first week. On August 23rd, the Willamette National Forest ordered a National Incident Management...",Prescribed Fire,n/a
63,Lefthand Canyon Fire (Wildfire),"Wed, 28 Oct 2020 18:21:05 -06:00",40.061944444444,-105.47972222222,http://inciweb.nwcg.gov/incident/7247/,"The Lefthand Canyon fire started on October 18, 2020. The fire burned 460 acres of brush and timber approximately one mile west of the town of Ward in the area of Lefthand Canyon and Spring Gulch in Boulder County, Colorado. It was 100% contained as of October 22, 2020. Recent snow and cold temperatures have put out much of the heat in the fire area, but some interior smoke may remain. Local resources will continue to monitor the area until they are confident the fire is completely extinguished and the fire is declared out. The cause is still under",Burned Area Emergency Response,n/a
64,Western Oregon USFS BAER (Burned Area Emergency Response),"Wed, 28 Oct 2020 11:31:00 -06:00",44.441666666667,-122.58916666667,http://inciweb.nwcg.gov/incident/7222/," The USDA Forest Service began a rapid assessment of burned watersheds on Forest Service lands. The Forest Service assembles teams of specialists to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on federal lands. This team, called a Burned Area Emergency Response (BAER) team, is largely made up of employees from the local units impacted by the 2020 wildfires. Due to the significant wildfire activity in relatively close proximity, the Forest Service is leveraging shared resources across multiple emergency response efforts and will use this site to disseminate information pertaining to the BAER process in Western Oregon. We work closely with our interagency partners and stakeholders, such as the BLM, BIA, local counties and municipalities, and private industry. This site will provide Forest Service BAER information for the following fires, ordered from north to south: Riverside / White River, Mt. Hood NF (Team...",Unknown,24995
65,Racetrack Fire (Wildfire),"Wed, 28 Oct 2020 11:01:12 -06:00",32.302222222222,-110.62638888889,http://inciweb.nwcg.gov/incident/7249/," Firefighters Continue to Hold the Fireline on the Racetrack Fire Acres: approx. 150 acres Percent Containment: 30% Start Date: 10/17/2020 Cause: Under investigation Location: Santa Catalina Ranger District Origin Location: Redington Pass Weather conditions: very hot, dry and windy Resource: Type 4 incident, three type six engines are assigned to the incident. Incident Commander: Chad Rice     Tucson, AZ, October 18, 2020- The Racetrack Fire experienced moderate growth last night and it is now approximately 150 acres. Tonight, crews will continue to work to improve existing contained lines.  ",Burned Area Emergency Response,n/a
66,Catalina Fire (Wildfire),"Wed, 28 Oct 2020 11:00:23 -06:00",32.441944444444,-110.91527777778,http://inciweb.nwcg.gov/incident/7248/," Fire Info and Media: christina.pearson@usda.gov (520) 240-6304, 8:00 a.m. to 5 p.m.   Facebook: https://facebook.com/CoronadoNF   Website: https://www.fs.usda.gov/Coronado     Incident Statistics Location:  Catalina State Park Size: 47acres Containment: 60% Date detected: October 18, 2020 Cause: HumanResources Engines: 7     Personnel: 25          Catalina Fire – October 19, 2020 Update    The Catalina Fire started on the Catalina State Park in the late afternoon of October 18, 2020. The cause of the fire is under investigation by law enforcement. The fire has grown to approximately 47 acres, burning in Sonoran Desert scrub within the Canada Del Oro Wash in the Catalina State Park.   The strategy is full suppression of the fire with the primary objective being firefighter and public safety with an emphasis on protecting the surrounding communities and private property.   Resources assigned to the Catalina Fire include: a Type 3 Incident Commander, 7 Engines, and...",Unknown,379895
67,Cow Canyon (Wildfire),"Wed, 28 Oct 2020 10:26:27 -06:00",33.561388888889,-109.09888888889,http://inciweb.nwcg.gov/incident/7158/," The Cow Canyon Fire was ignited by lightning on August 18, 2020 on the Alpine Ranger District on the Apache-Sitgreaves National Forests. It is burning in steep, rugged terrain with limited access, and is in a remote location within the Blue Range Primitive Area near the Arizona and New Mexico state border.",Human,138054
68,Shissler Fire (Wildfire),"Tue, 27 Oct 2020 15:52:32 -06:00",45.760277777778,-115.1925,http://inciweb.nwcg.gov/incident/7014/,"The Shissler fire was reported the evening of August 17, 2020 southeast of Elk City, Idaho two miles south of Red River Hot Springs. The Shissler fire has been officially declared ""out.""",Unknown,124924
69,Habanero Fire (Wildfire),"Tue, 27 Oct 2020 12:25:40 -06:00",33.271944444444,-110.98388888889,http://inciweb.nwcg.gov/incident/7252/,"The Habanero Fire did receive some precipitation, but not enough to help with full suppression efforts. There is still some interior smoke and hotspots within the fire's perimeter. Today, crews will continue securing up containment lines and monitoring existing lines to ensure they are holding. There are no evacuations or closures within the",Prescribed Fire,n/a
70,Encinos Fire  (Wildfire),"Mon, 26 Oct 2020 14:39:13 -06:00",31.622777777778,-111.62361111111,http://inciweb.nwcg.gov/incident/7235/,"The Encinos Fire saw no new growth overnight and remains at 14,907 acres. It is 55% contained, not 95% as previously reported. The decrease in containment numbers was due to miscommunication between the Encinos and Espinosa Fires. Cooler overnight temperatures and increased relative humidity have significantly reduced fire behavior. Line is holding on all sides of the fire and firefighters are confident the incoming wind event should not impact the fire's activity or cause any control problems. Today, crews will continue to patrol and monitor line as the fire does continue to smolder in some areas and is expected to make some uphill runs within pockets of unburned fuels. The threat to structures and area infrastructure has greatly",Lightning,8177
71,Trap Fire  (Wildfire),"Mon, 26 Oct 2020 09:11:00 -06:00",44.311944444444,-115.10027777778,http://inciweb.nwcg.gov/incident/7204/,"The Trap Creek fire is located on the Sawtooth National Recreation Area and the Middle Fork RD of the Salmon-Challis NF, approximately 9 miles northwest of Stanley, ID. The fire was first reported on September 14th, 2020 near Trap Creek Campground. Last weekend, cooler temperatures, cloud cover and higher humidity allowed firefighters time to complete 100 % containment line along the northeast side of highway 21, where full suppression was needed for public safety and structure protection. On the southwest portion of the fire, crews have been monitoring activity within the existing fire perimeter. Yesterday’s warm weather, and afternoon winds, caused for an increase in fire behavior that resulted in minimal fire growth and intermittent closures of highway 21. Highway 21 is now back open.",Unknown,208913
72,Center Creek Trail Fire (Wildfire),"Sun, 25 Oct 2020 18:43:34 -06:00",40.64,-110.45222222222,http://inciweb.nwcg.gov/incident/7166/," Center Creek Trail Fire  Location: 13 miles north of Hanna, Utah Start Date: August 21, 2020 lightning-caused   FINAL UPDATEThe Center Creek Trail Fire was declared 100% contained on October 13, 2020. Unless conditions warrant, this will be the final update for the Center Creek Trail Fire. Please note that area and road closures are in effect, as well as fire restrictions. Please continue to look for this information by visiting the East Fork Fire Inciweb:  https://inciweb.nwcg.gov/incident/closures/7052/  and also by going to the Ashley National Forest website and Facebook page.   ",Prescribed Fire,n/a
73,Marion Fire (Wildfire),"Fri, 23 Oct 2020 18:23:16 -06:00",46.438055555556,-114.66055555556,http://inciweb.nwcg.gov/incident/7058/,"The Marion fire was detected on Wednesday, Aug. 19 six miles southeast of Powell on the Lochsa-Powell Ranger District. The Marion fire was called out by fire managers on Oct. 22,",Prescribed Fire,n/a
74,Beaver Fire (Wildfire),"Fri, 23 Oct 2020 18:21:30 -06:00",46.506666666667,-114.60277777778,http://inciweb.nwcg.gov/incident/7128/,"The Beaver fire was first detected on 8/21/2020 and was determined to be caused from a the lightning event of 8/19/2020. This fire is located on the Lochsa-Powell Ranger District of the Nez Perce-Clearwater National Forests near Powell. The Beaver fire was called out by fire managers on Oct. 22,",Burned Area Emergency Response,n/a
75,Lion Creek (Wildfire),"Fri, 23 Oct 2020 11:34:24 -06:00",47.677222222222,-113.63777777778,http://inciweb.nwcg.gov/incident/7011/,"September 7, 2020 Morning Update Lion Creek continues to show little to no growth. Fire activity is limited to green wedges of sub alpine fir within the fire perimeter. Active areas were sheltered from the winds Sunday. Estimated Size: 190 acres. August 25, 2020 Evening Update Due to smoke, fire managers have been unable to fly the fire the last two days. The majority of activity continues to be isolated to a few timber stringers where fire continues to back down the slope and to the east. Aerial reconnaissance will resume once the smoke clears. Estimated Size: 170 acres. August 23, 2020 Morning Update Lion Cr was a bit more active on 8/22/2020 than it has been the last few burn periods. Fire continues to back down slope towards Lion Creek and to the east. There was occasional single tree torching when fire was able to make if off the surface and up into the canopy of the Sub Alpine Fir. Fire spread to the north/northeast continues to be checked by the ridge to the north. Estimated...",Unknown,24995
